,province,candidate_name,votes,rank
3,ABRA,"MARCOS, BONGBONG (IND)",110576,1.0
10,AGUSAN DEL NORTE,"ROBREDO, LENI DAANG MATUWID (LP)",106988,1.0
16,AGUSAN DEL SUR,"ROBREDO, LENI DAANG MATUWID (LP)",142099,1.0
22,AKLAN,"ROBREDO, LENI DAANG MATUWID (LP)",145611,1.0
28,ALBAY,"ROBREDO, LENI DAANG MATUWID (LP)",376246,1.0
34,ANTIQUE,"ROBREDO, LENI DAANG MATUWID (LP)",115584,1.0
39,APAYAO,"MARCOS, BONGBONG (IND)",40301,1.0
45,ASIA,"MARCOS, BONGBONG (IND)",31089,1.0
51,AURORA,"MARCOS, BONGBONG (IND)",42600,1.0
58,BASILAN,"ROBREDO, LENI DAANG MATUWID (LP)",71654,1.0
63,BATAAN,"MARCOS, BONGBONG (IND)",184385,1.0
70,BATANES,"ROBREDO, LENI DAANG MATUWID (LP)",4566,1.0
76,BATANGAS,"ROBREDO, LENI DAANG MATUWID (LP)",513587,1.0
81,BENGUET,"MARCOS, BONGBONG (IND)",170403,1.0
87,BILIRAN,"MARCOS, BONGBONG (IND)",32813,1.0
94,BOHOL,"ROBREDO, LENI DAANG MATUWID (LP)",273345,1.0
100,BUKIDNON,"ROBREDO, LENI DAANG MATUWID (LP)",211345,1.0
105,BULACAN,"MARCOS, BONGBONG (IND)",556480,1.0
111,CAGAYAN,"MARCOS, BONGBONG (IND)",374467,1.0
118,CAMARINES NORTE,"ROBREDO, LENI DAANG MATUWID (LP)",132757,1.0
124,CAMARINES SUR,"ROBREDO, LENI DAANG MATUWID (LP)",663855,1.0
130,CAMIGUIN,"ROBREDO, LENI DAANG MATUWID (LP)",38030,1.0
136,CAPIZ,"ROBREDO, LENI DAANG MATUWID (LP)",244481,1.0
142,CATANDUANES,"ROBREDO, LENI DAANG MATUWID (LP)",72600,1.0
147,CAVITE,"MARCOS, BONGBONG (IND)",556622,1.0
154,CEBU,"ROBREDO, LENI DAANG MATUWID (LP)",802576,1.0
156,COMPOSTELA VALLEY,"CAYETANO, ALAN PETER (IND)",132020,1.0
162,DAVAO DEL NORTE,"CAYETANO, ALAN PETER (IND)",207463,1.0
168,DAVAO DEL SUR,"CAYETANO, ALAN PETER (IND)",636720,1.0
174,DAVAO ORIENTAL,"CAYETANO, ALAN PETER (IND)",98455,1.0
183,DINAGAT ISLANDS,"MARCOS, BONGBONG (IND)",18256,1.0
190,EASTERN SAMAR,"ROBREDO, LENI DAANG MATUWID (LP)",93136,1.0
195,EUROPE,"MARCOS, BONGBONG (IND)",12856,1.0
202,GUIMARAS,"ROBREDO, LENI DAANG MATUWID (LP)",56249,1.0
207,IFUGAO,"MARCOS, BONGBONG (IND)",34578,1.0
213,ILOCOS NORTE,"MARCOS, BONGBONG (IND)",297853,1.0
219,ILOCOS SUR,"MARCOS, BONGBONG (IND)",314733,1.0
226,ILOILO,"ROBREDO, LENI DAANG MATUWID (LP)",705831,1.0
231,ISABELA,"MARCOS, BONGBONG (IND)",504463,1.0
237,KALINGA,"MARCOS, BONGBONG (IND)",59779,1.0
243,LA UNION,"MARCOS, BONGBONG (IND)",338455,1.0
249,LAGUNA,"MARCOS, BONGBONG (IND)",440080,1.0
255,LANAO DEL NORTE,"MARCOS, BONGBONG (IND)",94957,1.0
262,LANAO DEL SUR,"ROBREDO, LENI DAANG MATUWID (LP)",126429,1.0
267,LEYTE,"MARCOS, BONGBONG (IND)",404186,1.0
274,MAGUINDANAO,"ROBREDO, LENI DAANG MATUWID (LP)",185776,1.0
280,MARINDUQUE,"ROBREDO, LENI DAANG MATUWID (LP)",37981,1.0
286,MASBATE,"ROBREDO, LENI DAANG MATUWID (LP)",164810,1.0
291,METROPOLITAN MANILA,"MARCOS, BONGBONG (IND)",2178880,1.0
297,MIDDLE EAST AND AFRICAS,"MARCOS, BONGBONG (IND)",15690,1.0
304,MISAMIS OCCIDENTAL,"ROBREDO, LENI DAANG MATUWID (LP)",135619,1.0
310,MISAMIS ORIENTAL,"ROBREDO, LENI DAANG MATUWID (LP)",217743,1.0
315,MOUNTAIN PROVINCE,"MARCOS, BONGBONG (IND)",30822,1.0
322,NEGROS OCCIDENTAL,"ROBREDO, LENI DAANG MATUWID (LP)",712996,1.0
328,NEGROS ORIENTAL,"ROBREDO, LENI DAANG MATUWID (LP)",253974,1.0
334,NORTH AND LATIN AMERICA,"ROBREDO, LENI DAANG MATUWID (LP)",1766,1.0
339,NORTH COTABATO,"MARCOS, BONGBONG (IND)",169177,1.0
346,NORTHERN SAMAR,"ROBREDO, LENI DAANG MATUWID (LP)",109958,1.0
351,NUEVA ECIJA,"MARCOS, BONGBONG (IND)",541672,1.0
357,NUEVA VIZCAYA,"MARCOS, BONGBONG (IND)",117870,1.0
364,OCCIDENTAL MINDORO,"ROBREDO, LENI DAANG MATUWID (LP)",79411,1.0
370,ORIENTAL MINDORO,"ROBREDO, LENI DAANG MATUWID (LP)",134843,1.0
376,PALAWAN,"ROBREDO, LENI DAANG MATUWID (LP)",180553,1.0
381,PAMPANGA,"MARCOS, BONGBONG (IND)",433905,1.0
387,PANGASINAN,"MARCOS, BONGBONG (IND)",813709,1.0
394,QUEZON,"ROBREDO, LENI DAANG MATUWID (LP)",380277,1.0
399,QUIRINO,"MARCOS, BONGBONG (IND)",49158,1.0
405,RIZAL,"MARCOS, BONGBONG (IND)",435081,1.0
412,ROMBLON,"ROBREDO, LENI DAANG MATUWID (LP)",57920,1.0
418,SAMAR,"ROBREDO, LENI DAANG MATUWID (LP)",132259,1.0
423,SARANGANI,"MARCOS, BONGBONG (IND)",66222,1.0
430,SIQUIJOR,"ROBREDO, LENI DAANG MATUWID (LP)",30468,1.0
433,SORSOGON,"ESCUDERO, CHIZ (IND)",179548,1.0
441,SOUTH COTABATO,"MARCOS, BONGBONG (IND)",182428,1.0
448,SOUTHERN LEYTE,"ROBREDO, LENI DAANG MATUWID (LP)",93352,1.0
453,SULTAN KUDARAT,"MARCOS, BONGBONG (IND)",94244,1.0
459,SULU,"MARCOS, BONGBONG (IND)",104482,1.0
466,SURIGAO DEL NORTE,"ROBREDO, LENI DAANG MATUWID (LP)",78219,1.0
468,SURIGAO DEL SUR,"CAYETANO, ALAN PETER (IND)",64161,1.0
478,TARLAC,"ROBREDO, LENI DAANG MATUWID (LP)",243756,1.0
484,TAWI-TAWI,"ROBREDO, LENI DAANG MATUWID (LP)",41709,1.0
489,ZAMBALES,"MARCOS, BONGBONG (IND)",163223,1.0
496,ZAMBOANGA DEL NORTE,"ROBREDO, LENI DAANG MATUWID (LP)",200265,1.0
501,ZAMBOANGA DEL SUR,"MARCOS, BONGBONG (IND)",204073,1.0
508,ZAMBOANGA SIBUGAY,"ROBREDO, LENI DAANG MATUWID (LP)",100549,1.0
